warehouse_id,region,store_id,target_date,cat_low,sku_id,sku_name_en,sku_name_ko,brand,series,model_code,size_inch,volume_l,capacity_text,energy_grade,price_tier,msrp_krw,launch_date,warranty_months,case_pack,min_order_qty,eol_flag,actual_order_qty,share_norm,sku_qty
1,본사창고,3,2024-04-03,프린터,PRN-CAN-INK-2024,Canon Inkjet,캐논 잉크젯,Canon,Inkjet,CAN-I,,,,mid,199000,,,1,1,0,0.35,352,0.36031639343715827,127
1,본사창고,5,2022-06-22,모니터,MON-LG-27QHD-2024,LG 27 QHD,LG 27인치 QHD,LG,Ultrafine,27,27,,,mid,399000,,,2,1,0,0.4,156,0.3097125085753736,48
1,본사창고,4,2020-03-11,에어컨,AC-SAM-WF-18P-2024,Samsung WindFree 18py,삼성 무풍 18평,Samsung,WindFree,AF18,,,,1등급,high,2490000.0,2024-04-01,24,1,1,0.0,333,0.3,100
1,본사창고,6,2024-07-03,세탁기,WM-SAM-GRN-24K-2024,Samsung Grande 24kg,삼성 그랑데 24kg,Samsung,Grande,GR24,,,,1등급,high,1399000.0,2024-02-01,24,1,1,0.0,239,0.28380991435882813,68
1,본사창고,2,2024-04-24,프린터,PRN-BRO-LASER-2024,Brother Laser,브라더 레이저,Brother,Laser,BRO-L,,,,low,179000,,,1,1,0,0.2,437,0.20792600142752854,91
1,본사창고,3,2022-11-02,토스터기,TOA-PHI-2S-2024,Philips Toaster 2S,필립스 토스터 2구,Philips,Toaster,PH2,,,2구,2등급,mid,89000.0,2024-01-10,12,6,1,0.0,558,0.5,279
1,본사창고,7,2022-09-14,노트북,NBK-LG-GRAM-16-2024,LG Gram 16,LG 그램 16,LG,Gram,16,16,,,high,2190000,,,1,1,0,0.35,300,0.41115454093878817,123
1,본사창고,6,2020-05-20,청소기,VAC-XIA-ROBO-2024,Xiaomi Robot,샤오미 로봇청소기,Xiaomi,Robot,Vac2,,,,mid,399000,,,2,1,0,0.2,103,0.21442254249192882,22
1,본사창고,5,2024-06-12,토스터기,TOA-PHI-2S-2024,Philips Toaster 2S,필립스 토스터 2구,Philips,Toaster,PH2,,,2구,2등급,mid,89000.0,2024-01-10,12,6,1,0.0,465,0.5761416840684355,268
1,본사창고,9,2020-04-15,공기청정기,AIR-SAM-60-2024,Samsung BlueSky 60m²,삼성 블루스카이 60㎡,Samsung,BlueSky,BS60,,,,1등급,high,549000.0,2024-03-10,24,2,1,0.0,380,0.09999999999999999,38
1,본사창고,5,2023-05-30,노트북,NBK-SAM-GALAXY-15-2024,Samsung Galaxy Book 15,삼성 갤럭시북 15,Samsung,GalaxyBook,15,15,,,mid,1690000,,,1,1,0,0.35,349,0.3017598989543357,105
1,본사창고,5,2025-01-01,라우터,RTR-ASU-AX6000-2024,ASUS AX6000,아수스 AX6000,ASUS,AX,AX6000,,,,high,249000,,,4,1,0,0.35,188,0.4032720818870962,76
